type,sensor,value,timestamp
"watt","meanPerHour",223,1405490438
"watt","meanPerHour",232,1405494107
"watt","meanPerHour",239,1405497606
"watt","meanPerHour",225,1405501230
"watt","meanPerHour",256,1405504834
"watt","meanPerHour",360,1405508490
"watt","meanPerHour",294,1405512168
"watt","meanPerHour",315,1405515713
"watt","meanPerHour",272,1405519226
"watt","meanPerHour",236,1405522862
"watt","meanPerHour",242,1405526406
"watt","meanPerHour",226,1405530150
"watt","meanPerHour",503,1405533607
"watt","meanPerHour",706,1405537213
"watt","meanPerHour",228,1405540885
"watt","meanPerHour",2215,1405544483
"watt","meanPerHour",3261,1405548018
"watt","meanPerHour",1828,1405551614
"watt","meanPerHour",190,1405555211
"watt","meanPerHour",176,1405558811
"watt","meanPerHour",183,1405562405
"watt","meanPerHour",169,1405566036
"watt","meanPerHour",172,1405569725
"watt","meanPerHour",399,1405573242
"watt","meanPerHour",628,1405577043
"watt","meanPerHour",383,1405580403
"watt","meanPerHour",246,1405584034
"watt","meanPerHour",221,1405587741
"watt","meanPerHour",211,1405591222
"watt","meanPerHour",220,1405594800
"watt","meanPerHour",385,1405598429
"watt","meanPerHour",228,1405602000
"watt","meanPerHour",179,1405605638
"watt","meanPerHour",190,1405609206
"watt","meanPerHour",242,1405612803
"watt","meanPerHour",211,1405616401
"watt","meanPerHour",208,1405620032
"watt","meanPerHour",796,1405623677
"watt","meanPerHour",245,1405627200
"watt","meanPerHour",1179,1405630828
"watt","meanPerHour",2382,1405634414
"watt","meanPerHour",1668,1405638047
"watt","meanPerHour",451,1405641627
"watt","meanPerHour",1076,1405645206
"watt","meanPerHour",181,1405648816
"watt","meanPerHour",183,1405652411
"watt","meanPerHour",177,1405656009
"watt","meanPerHour",282,1405659628
"watt","meanPerHour",281,1405663200
"watt","meanPerHour",404,1405666881
"watt","meanPerHour",1434,1405670405
"watt","meanPerHour",346,1405674000
"watt","meanPerHour",166,1405677611
"watt","meanPerHour",500,1405681225
"watt","meanPerHour",450,1405684845
"watt","meanPerHour",293,1405688403
"watt","meanPerHour",366,1405692024
"watt","meanPerHour",265,1405695624
"watt","meanPerHour",354,1405699202
"watt","meanPerHour",488,1405702808
"watt","meanPerHour",225,1405706403
"watt","meanPerHour",705,1405710010
"watt","meanPerHour",271,1405713623
"watt","meanPerHour",1234,1405717330
"watt","meanPerHour",2395,1405720807
"watt","meanPerHour",1603,1405724409
"watt","meanPerHour",189,1405728032
"watt","meanPerHour",189,1405731613
"watt","meanPerHour",202,1405735214
"watt","meanPerHour",200,1405738829
"watt","meanPerHour",197,1405742413
"watt","meanPerHour",189,1405746072
"watt","meanPerHour",892,1405749623
"watt","meanPerHour",954,1405753244
"watt","meanPerHour",756,1405756832
"watt","meanPerHour",487,1405760403
"watt","meanPerHour",188,1405764048
"watt","meanPerHour",193,1405767606
"watt","meanPerHour",184,1405771310
"watt","meanPerHour",185,1405774840
"watt","meanPerHour",194,1405778476
"watt","meanPerHour",188,1405782005
"watt","meanPerHour",184,1405785862
"watt","meanPerHour",195,1405789217
"watt","meanPerHour",807,1405792851
"watt","meanPerHour",1190,1405796400
"watt","meanPerHour",305,1405800053
"watt","meanPerHour",1279,1405803604
"watt","meanPerHour",1378,1405807243
"watt","meanPerHour",185,1405810875
"watt","meanPerHour",176,1405814404
"watt","meanPerHour",1035,1405818005
"watt","meanPerHour",171,1405821617
"watt","meanPerHour",167,1405825403
"watt","meanPerHour",176,1405828874
"watt","meanPerHour",173,1405832421
"watt","meanPerHour",170,1405836143
"watt","meanPerHour",304,1405839616
"watt","meanPerHour",307,1405843201
"watt","meanPerHour",262,1405846832
"watt","meanPerHour",173,1405850404
"watt","meanPerHour",515,1405854019
"watt","meanPerHour",209,1405857663
"watt","meanPerHour",747,1405861269
"watt","meanPerHour",440,1405864829
"watt","meanPerHour",224,1405868415
"watt","meanPerHour",239,1405872019
"watt","meanPerHour",277,1405875706
"watt","meanPerHour",198,1405879209
"watt","meanPerHour",280,1405882819
"watt","meanPerHour",285,1405886407
"watt","meanPerHour",1323,1405890002
"watt","meanPerHour",2399,1405893611
"watt","meanPerHour",1965,1405897238
"watt","meanPerHour",183,1405900810
"watt","meanPerHour",979,1405904487
"watt","meanPerHour",805,1405908097
"watt","meanPerHour",180,1405911608
"watt","meanPerHour",181,1405915203
"watt","meanPerHour",433,1405918826
"watt","meanPerHour",528,1405922484
"watt","meanPerHour",338,1405926060
"watt","meanPerHour",284,1405929654
"watt","meanPerHour",277,1405933278
"watt","meanPerHour",282,1405936803
"watt","meanPerHour",286,1405940407
"watt","meanPerHour",280,1405944008
"watt","meanPerHour",286,1405947612
"watt","meanPerHour",280,1405951315
"watt","meanPerHour",214,1405954810
"watt","meanPerHour",251,1405958404
"watt","meanPerHour",231,1405962013
"watt","meanPerHour",797,1405965613
"watt","meanPerHour",796,1405969231
"watt","meanPerHour",261,1405972826
"watt","meanPerHour",1693,1405976526
"watt","meanPerHour",2549,1405980148
"watt","meanPerHour",2359,1405983628
"watt","meanPerHour",942,1405987201
"watt","meanPerHour",192,1405990817
"watt","meanPerHour",186,1405994654
"watt","meanPerHour",193,1405998027
"watt","meanPerHour",192,1406001615
"watt","meanPerHour",276,1406005283
"watt","meanPerHour",605,1406008830
